ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"41.60.232.18","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","290","Liquid Telecommunications Operations Limited","5678","socks4","3501","87","2023-11-27T03:13:31.302Z","84","4194","4996"
"45.231.30.254","elite","AS267188","BR","Net Info Informatica Ltda","226","Net Info Informatica Ltda","4153","socks4","1011","1","2023-11-27T03:13:31.297Z","55","2682","4877"
"104.21.85.109","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","5086","1","2023-11-27T03:13:31.395Z","100","4929","4929"
"45.70.204.21","elite","AS267586","BR","Rafael Pierre Barbosa - Me","174","Rafael Pierre Barbosa - Me","4145","socks4","4985","1","2023-11-27T03:13:31.308Z","100","4881","4893"
"142.93.167.100","elite","AS14061","DE","DigitalOcean, LLC","24","DigitalOcean, LLC","61042","socks5","3802","1","2023-11-27T03:13:28.406Z","89","4261","4768"
"45.70.237.139","elite","AS52468","EC","Ufinet Panama S.A.","164","Negocios Y Telefonia Nedetel S.A","4145","socks4","4705","83","2023-11-27T03:13:28.402Z","100","4917","4938"
"104.16.108.204","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4503","1","2023-11-27T03:13:28.495Z","100","4908","4909"
"176.57.189.116","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","10898","socks4","4797","1","2023-11-27T03:13:28.699Z","100","4870","4876"
"49.49.91.24","elite","AS45629","TH","Triple T Broadband Public Company Limited","196","Triple T Broadband Public Company Limited","5678","socks4","4494","2","2023-11-27T03:13:28.696Z","99","4896","4938"
"182.160.124.106","elite","AS24323","BD","Aamra Networks Limited","193","N/A","5678","socks4","4394","1","2023-11-27T03:13:25.599Z","89","4311","4829"
"157.185.176.44","elite","AS54994","US","Meteverse Limited.","94","Meteverse Limited","26589","socks5","912","1","2023-11-27T03:13:25.202Z","99","4766","4803"
"43.134.188.89","elite","AS132203","SG","Aceville Pte.ltd","327","N/A","38279","socks4","4595","2","2023-11-27T03:13:25.000Z","86","4230","4898"
"176.115.14.32","elite","AS58350","PL","PHU Classcom Sp. z o.o.","86","PHU Classcom Sp. z o.o","5678","socks4","4299","1","2023-11-27T03:13:25.609Z","100","4972","4989"
"178.212.51.79","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","85","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","4801","2","2023-11-27T03:13:25.606Z","100","4898","4921"
"103.9.188.138","elite","AS38901","KH","EZECOM limited","221","EZECOM limited","52269","socks4","2901","1","2023-11-27T03:13:25.602Z","98","4848","4969"
"5.202.120.214","elite","AS49100","IR","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","110","PTE","5678","socks5","4196","1","2023-11-27T03:13:25.196Z","40","1960","4850"
"43.128.51.21","elite","AS132203","HK","Aceville Pte.ltd","297","N/A","8765","socks5","5104","1","2023-11-27T03:13:25.102Z","100","4918","4938"
"201.20.88.5","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","384","MOB SERVICOS DE TELECOMUNICACOES S.A","3128","socks4","1606","2","2023-11-27T03:13:24.997Z","100","4914","4929"
"43.240.113.88","elite","AS38794","TH","United Information Highway Co., Ltd.","191","United Information Highway Co., Ltd","46755","socks4","4489","1","2023-11-27T03:13:22.296Z","99","4882","4923"
"104.17.166.210","elite","AS13335","CA","Cloudflare, Inc.","79","Cloudflare, Inc.","80","socks4","4002","1","2023-11-27T03:13:22.216Z","100","4888","4888"
"200.116.198.160","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P","173","Mpio Manizales","58927","socks4","1675","2","2023-11-27T03:13:22.207Z","84","4142","4934"
"176.9.32.84","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","22000","socks4","493","78","2023-11-27T03:13:19.599Z","100","4972","4977"
"1.179.242.33","elite","AS23969","TH","TOT Public Company Limited","168","TOT Public Company Limited","4145","socks4","5196","1","2023-11-27T03:13:19.230Z","84","4186","4987"
"91.198.137.31","elite","AS42927","PL","HOST1","29","Adrian Andreas Zajonz","3580","socks4","4996","3","2023-11-27T03:13:19.602Z","100","4988","4993"
"103.47.93.211","elite","AS134058","IN","Broban Internet Services Pvt.ltd","285","Broban  PVT Ltd.","1080","socks4","1091","1","2023-11-27T03:13:19.232Z","99","4863","4902"
"27.123.1.37","elite","AS45706","ID","PT Tele Globe Global","198","N/A","4153","socks4","4891","1","2023-11-27T03:13:19.305Z","99","4911","4940"
"142.93.113.81","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","7497","socks5","5097","1","2023-11-27T03:13:16.306Z","100","4872","4891"
"181.188.188.131","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","199","Telefónica Celular de Bolivia S.A","5678","socks4","5200","2","2023-11-27T03:13:16.398Z","98","4848","4959"
"51.15.16.96","elite","AS12876","NL","Online SAS NL","11","SCALEWAY","46919","socks5","4895","2","2023-11-27T03:13:16.303Z","93","4534","4886"
"101.51.83.64","elite","AS23969","TH","TOT Public Company Limited","195","TOT Public Company Limited","4145","socks4","4606","1","2023-11-27T03:13:16.009Z","48","2305","4823"
"165.225.110.77","elite","AS53813","JP","ZSCALER, INC.","294","Zscaler, Inc.","10605","socks4","5186","1","2023-11-27T03:13:16.000Z","95","4595","4835"
"175.229.79.45","elite","AS4766","KR","Korea Telecom","290","Kornet","999","socks4","4598","82","2023-11-27T03:13:16.312Z","67","3284","4904"
"157.185.160.74","elite","AS54994","US","Meteverse Limited.","85","Meteverse Limited","26589","socks5","2803","1","2023-11-27T03:13:15.908Z","100","4719","4725"
"185.92.222.127","elite","AS20473","NL","The Constant Company, LLC","11","Vultr Holdings LLC Amsterdam","9100","socks5","4495","88","2023-11-27T03:13:15.911Z","100","4956","4958"
"174.75.211.194","elite","AS22773","US","Cox Communications Inc.","191","Cox Communications","4145","socks4","615","4","2023-11-27T03:13:13.114Z","36","1721","4824"
"45.56.83.46","elite","AS63949","US","Akamai Technologies, Inc.","187","Linode","8047","socks4","2517","2","2023-11-27T03:13:13.403Z","97","4782","4917"
"103.47.93.250","elite","AS134058","IN","Broban Internet Services Pvt.ltd","194","Broban  PVT Ltd.","1080","socks4","4794","2","2023-11-27T03:13:13.111Z","99","4964","4999"
"38.127.179.34","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","11537","socks5","5099","1","2023-11-27T03:13:10.197Z","100","4871","4880"
"213.166.82.158","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","52","Proline IT Ltd","62715","socks4","2513","2","2023-11-27T03:13:10.116Z","100","4824","4838"
"212.34.239.253","elite","AS44395","AM","Ucom CJSC","90","Ucom Gpon Subs","1080","socks4","5106","1","2023-11-27T03:13:09.810Z","99","4946","4976"
"83.142.126.147","elite","AS34169","PL","Media-Com Sp. z o.o.","88","Media-Com Sp. z o.o.","80","socks5","4783","1","2023-11-27T03:13:09.902Z","98","4925","5006"
"88.255.106.26","elite","AS9121","TR","TurkTelekom","74","N/A","10820","socks4","4902","1","2023-11-27T03:13:09.907Z","52","2584","5000"
"101.43.3.207","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","181","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","784","1","2023-11-27T03:13:09.997Z","69","3356","4851"
"161.35.179.193","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","59761","socks5","5196","1","2023-11-27T03:13:09.904Z","99","4785","4811"
"124.120.106.86","elite","AS17552","TH","TRUEBB","191","N/A","5678","socks4","3190","5","2023-11-27T03:13:09.797Z","81","3972","4894"
"221.225.152.167","elite","AS4134","CN","CHINANET jiangsu province network","189","N/A","24166","socks5","698","1","2023-11-27T03:13:09.801Z","59","2905","4924"
"171.244.10.204","elite","AS38731","VN","VIETEL","284","Viettel Corporation","21709","socks4","4796","13","2023-11-27T03:13:07.000Z","99","4891","4958"
"182.160.102.149","elite","AS24323","BD","Aamra Networks Limited","188","N/A","3128","socks5","2089","1","2023-11-27T03:13:07.001Z","99","4818","4854"
"144.126.217.189","elite","AS14061","US","DigitalOcean, LLC","164","DigitalOcean, LLC","12345","socks5","4896","2","2023-11-27T03:13:07.001Z","70","3473","4948"
"103.137.8.98","elite","AS138824","ID","STARTEL","166","N/A","4153","socks4","4499","1","2023-11-27T03:13:07.003Z","97","4785","4957"
"114.106.137.191","elite","AS4134","CN","Chinanet","209","Chinanet AH","38801","socks5","1176","1","2023-11-27T03:13:07.006Z","40","1998","5018"
"180.183.1.145","elite","AS45629","TH","Triple T Broadband Public Company Limited","167","Triple T Broadband Public Company Limited","4153","socks4","4599","1","2023-11-27T03:13:06.596Z","93","4497","4824"
"185.161.186.82","elite","AS43618","ES","Inforcelra SLU","33","Inforcelra SLU","54321","socks4","504","2","2023-11-27T03:13:06.699Z","100","4987","4993"
"50.116.14.201","elite","AS63949","US","Akamai Technologies, Inc.","149","Linode","7497","socks5","3801","2","2023-11-27T03:13:06.999Z","100","4861","4866"
"181.13.142.45","elite","AS7303","AR","Telecom Argentina S.A.","295","Frigorifico Industrial Del Norte SA","5678","socks4","3001","2","2023-11-27T03:13:06.504Z","96","4744","4945"
